KldbCode,code,Classification 2 PrefLabel
B 91224-111,2633.1,Historiker/Historikerin
B 43384-114,2529.7,Cyber-Security-Consultant
B 51614-107,1324.2,Luftverkehrsmanager/Luftverkehrsmanagerin
B 41304-105,2113.1,Chemiker/Chemikerin
B 94533-100,3521.1.10,Tontechniker/Tontechnikerin
B 54132-107,8157.1,Textilreiniger/Textilreinigerin
B 41213-100,3141.1,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Biotechnik
B 92194-102,1221.3,Leiter/Leiterin - Marketing
B 94134-105,2652.3.1,Dirigent/Dirigentin
B 26244-104,2149.9.7,Ingenieur/Ingenieurin für Erneuerbare Energien
B 92122-104,5244.1,Servicefachkraft für Dialogmarketing
B 92122-101,5244.1,Callcenteragent/Callcenteragentin
B 11282-101,6129.1,Tierwirt/Tierwirtin Schwerpunkt Pelztierhaltung
B 11282-102,6129.1,Pelztierzüchter/Pelztierzüchterin
B 83384-100,2636.3,Missionar/Missionarin
B 61313-103,3334.5,Objektverwalter/Objektverwalterin (Immobilien)
B 61313-101,3334.5,Geprüfter Fachkaufmann/Geprüfte Fachkauffrau für die Verwaltung von Wohnungseigentum
B 31103-103,3112.1,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Bautechnik (ohne Schwerpunkt)
B 73252-101,3411.5,Justizfachangestellter/Justizfachangestellte
B 28114-102,2163.1.8,Textildesigner/Textildesignerin
B 29262-150,8160.11,Süßwarentechnologe/Süßwarentechnologin
B 29393-118,3434.1,Küchenchef/Küchenchefin
B 84134-106,2352.2,Lehrer/Lehrerin für Begabtenförderung
B 27313-103,1219.7,Fachkraft - Qualitätssicherung/Qualitätsmanagement
B 27394-110,1219.7,Qualitätsmanager/Qualitätsmanagerin
B 62212-105,5223.7.33,Fachverkäufer/Fachverkäuferin für Sportartikel
B 84134-108,2352.1.3,Lehrer/Lehrerin für Stützunterricht
B 71383-150,2433.3,Berater/Beraterin für erneuerbare Energien
B 84503-101,3422.4,Berufstrainer/Berufstrainerin im Sport
B 27303-103,3115.1.16,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Maschinentechnik Schwerpunkt Produktionsorganisation
B 27302-105,3115.1.16,Produktionstechnologe/Produktionstechnologin
B 42314-114,2133.7,Umweltwissenschaftler/Umweltwissenschaftlerin
B 91324-114,2632.6,Sozialwissenschaftler/Sozialwissenschaftlerin
B 91324-115,2632.6,Soziologe/Soziologin
B 24532-100,7311.1,Uhrmacher/Uhrmacherin
B 28333-103,3119.6,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Schuhtechnik Schwerpunkt Modellgestaltung
B 22112-106,8141.1.8,Mechaniker/Mechanikerin für Reifen- und Vulkanisationstechnik Fachrichtung Vulkanisationstechnik
B 22112-102,8141.1.8,Vulkaniseur und Reifenmechaniker/Vulkaniseurin und Reifenmechanikerin
B 22112-110,8141.1.8,Vulkaniseur/Vulkaniseurin
B 24132-170,7211.1.1,Gießereimechaniker/Gießereimechanikerin Schwerpunkt Druck- und Kokillenguss
B 24132-100,7211.1.1,Gießereimechaniker/Gießereimechanikerin Fachrichtung Druck- und Kokillenguss
B 62512-103,5223.7.6,Buchhändler/Buchhändlerin
B 24522-145,7222.2,Systemmacher/Systemmacherin - Gewehr
B 24522-105,7222.2,Büchsenmacher/Büchsenmacherin
B 71384-109,1219.2,Corporate-Responsibility-Manager/Corporate-Responsibility-Managerin
B 92413-108,2432.5,Community-Manager/Community-Managerin
B 83143-105,5322.1,Staatlich anerkannter Haus- und Familienpfleger/Staatlich anerkannte Haus- und Familienpflegerin
B 83142-106,5322.1,Fachkraft für Pflegeassistenz
B 62183-102,4225.1,Kundendienstberater/Kundendienstberaterin
B 94134-116,2652.2,Chefdirigent/Chefdirigentin
B 94134-110,2652.2,Musikdirektor/Musikdirektorin
B 94134-106,2652.2,Musikalischer Oberleiter/Musikalische Oberleiterin
B 61123-106,3322.1,Handelsvertreter/Handelsvertreterin
B 61123-110,3322.1,Fachberater/Fachberaterin für Vertrieb
B 26322-102,8212.3.6,Mikrotechnologe/Mikrotechnologin Schwerpunkt Halbleitertechnik
B 27104-159,1223.2.1,Produktentwickler/Produktentwicklerin
B 73342-101,3252.1,Medizinischer Dokumentationsassistent/Medizinische Dokumentationsassistentin
B 73342-102,3252.1,Fachangestellter/Fachangestellte für Medien- und Informationsdienste Fachrichtung Medizinische Dokumentation
B 11312-104,6121.3,Pferdewirt/Pferdewirtin Fachrichtung Pferdezucht
B 28332-104,7536.2.7,Orthopädieschuhmacher/Orthopädieschuhmacherin
B 33212-153,7131.1,Maler und Lackierer/Malerin und Lackiererin Fachrichtung Ausbautechnik und Oberflächengestaltung
B 33212-152,7131.1,Maler und Lackierer/Malerin und Lackiererin Fachrichtung Energieeffizienz- und Gestaltungstechnik
B 33212-113,7131.1,Maler und Lackierer/Malerin und Lackiererin Fachrichtung Bauten- und Korrosionsschutz
B 33212-112,7131.1,Maler und Lackierer/Malerin und Lackiererin Fachrichtung Gestaltung und Instandhaltung
B 33212-111,7131.1,Bauten- und Objektbeschichter/Bauten- und Objektbeschichterin
B 33212-109,7131.1,Maler und Lackierer/Malerin und Lackiererin - Schwerpunkt Maler/Malerin
B 81143-101,3240.2.1,Fachagrarwirt/Fachagrarwirtin - Besamungswesen
B 21362-100,7311.2,Feinoptiker/Feinoptikerin
B 41322-151,3119.16.5,Textillaborant/Textillaborantin Schwerpunkt Textilchemie
B 41322-118,3119.16.5,Textillaborant/Textillaborantin
B 24424-100,2144.1.23,Schweißfachingenieur/Schweißfachingenieurin
B 81332-104,3259.1,Anästhesietechnischer Assistent/Anästhesietechnische Assistentin
B 41484-116,2131.4.4,Biophysiker/Biophysikerin
B 24422-128,7212.2,Löter/Löterin
B 34102-101,5153.1,Hausmeister/Hausmeisterin
B 34102-105,5153.1,Hauswart/Haustechniker/Hauswartin/Haustechnikerin
B 28213-103,7532.7,"Schnitt-, Entwurfs- und Fertigungsmodelleur/Schnitt-, Entwurfs- und Fertigungsdirektrice"
B 42333-102,3111.12,Strahlenschutzfachkraft
B 94224-111,2653.1,Choreograf/Choreografin
B 24232-143,7223.20,Erodierer/Erodiererin
B 28123-104,8152.1.2,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Maschentechnik
B 71324-101,2413.1.3,Mergers-and-Acquisitions-Specialist
B 32162-100,7119.1,Gerüstbauer/Gerüstbauerin
