KldbCode,code,Classification 2 PrefLabel
B 82322-102,5142.5,Visagist/Visagistin
B 11604-103,2145.1.7,Önologe/Önologin
B 51632-107,4323.6,Disponent/Disponentin - Güterverkehr
B 81713-126,2269.1,Chiropraktiker/Chiropraktikerin
B 24222-108,8122.11,Flächenschleifer/Flächenschleiferin
B 41424-117,2149.11,Ingenieur/Ingenieurin für Werkstofftechnik
B 41424-119,2149.11,Ingenieur/Ingenieurin für Materialwissenschaften
B 25212-106,7231.10,Kraftfahrzeugmechaniker/Kraftfahrzeugmechanikerin
B 61282-113,5223.7.30,Gebrauchtwarenhändler/Gebrauchtwarenhändlerin
B 62252-101,5223.7.20,Staatlich geprüfter Einrichtungsfachberater/Staatlich geprüfte Einrichtungsfachberaterin
B 24222-110,8122.4,Rundschleifer/Rundschleiferin
B 29204-103,2145.1.4,Ingenieur/Ingenieurin für Lebensmitteltechnologie
B 42124-123,2114.1.8,Ozeanograf/Ozeanografin
B 92424-100,2641.1,Lektor/Lektorin in Verlagen
B 92203-100,2412.6.4,Investor-Relations-Manager/Investor-Relations-Managerin
B 28132-110,8151.4,Spuler - Textiltechnik/Spulerin - Textiltechnik
B 92414-103,2642.1.11,Auslandskorrespondent/Auslandskorrespondentin
B 27103-133,3118.1,3-D-Druck-Spezialist/3-D-Druck-Spezialistin
B 94532-101,3521.1.1,Tonassistent/Tonassistentin (Tontechnik)
B 94612-109,2654.1.5,Set-Decorator
B 25224-102,2144.1.2,Ingenieur/Ingenieurin für Agrartechnik
B 82312-105,5141.1.1,Herrenfriseur/Herrenfriseurin
B 94612-101,3432.4.1,Bühnenmaler und Bühnenplastiker/Bühnenmalerin und Bühnenplastikerin Fachrichtung Malerei
B 34332-109,9612.1,Recycling-Fachkraft
B 33132-100,7122.2,Parkettleger/Parkettlegerin
B 94483-102,2654.1.2,Casting-Direktor/Casting-Direktorin
B 71394-144,1213.2.2,Leiter/Leiterin - Unternehmensentwicklung
B 26324-116,2152.1.15,Ingenieur/Ingenieurin für Sensortechnik
B 23412-101,7322.6,Papierpräger/Papierprägerin
B 91314-116,2633.3,Politologe/Politologin
B 83123-106,3412.5,Fachkraft für Sozialarbeit
B 26102-101,3139.2,Roboterprogrammierer/Roboterprogrammiererin
B 82512-111,3214.3.1,Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin
B 22382-102,7522.3,Böttcher/Böttcherin
B 22102-112,8142.7,Kunststoffspritzer/Kunststoffspritzerin
B 53162-101,4214.1,Inkassobeauftragter/Inkassobeauftragte im Außendienst
B 51322-102,4412.1,Postabfertiger/Postabfertigerin
B 28222-116,7533.5,Modenäher/Modenäherin
B 82532-103,3214.1,Hörakustiker/Hörakustikerin
B 82532-100,3214.1,Hörgeräteakustiker/Hörgeräteakustikerin
B 12144-106,2162.1,Landschaftsarchitekt/Landschaftsarchitektin
B 12144-105,2162.1,Ingenieur/Ingenieurin für Landschaftsarchitektur
B 52314-108,3153.2.2,Verkehrsflugzeugführer/Verkehrsflugzeugführerin (ATPL (A))
B 24112-109,3135.1,Metallschmelzer/Metallschmelzerin
B 94404-104,2654.3,Producer/Producerin
B 81624-110,2634.2,Psychologe/Psychologin
B 24142-196,7211.1.3,Gießereimechaniker/Gießereimechanikerin Schwerpunkt Handformguss
B 24142-105,7211.1.3,Gießereimechaniker/Gießereimechanikerin Fachrichtung Handformguss
B 27303-132,3119.14,Geprüfter Prozessmanager/Geprüfte Prozessmanagerin - Produktionstechnologie
B 25183-105,7233.13,Pneumatik-Fachkraft
B 81804-104,2262.1.2.2,Pharmazeut/Pharmazeutin
B 27304-164,2141.4,Wirtschaftsingenieur/Wirtschaftsingenieurin
B 63302-103,5131.2.1,Oberkellner/Oberkellnerin
B 23212-183,7321.1,Mediengestalter/Mediengestalterin Digital und Print Fachrichtung Gestaltung und Technik
B 23212-134,7321.1,Mediengestalter/Mediengestalterin für Digital- und Printmedien Fachrichtung Medientechnik
B 42124-121,2114.1.5,Hydrologe/Hydrologin
B 26124-113,2149.15,"Ingenieur/Ingenieurin für Robotik, Autonome Systeme"
B 28222-306,7531.2,Maßschneider/Maßschneiderin Schwerpunkt Damen
B 28222-108,7531.2,Damenschneider/Damenschneiderin
B 83113-100,2342.1,Staatlich anerkannter Erzieher/Staatlich anerkannte Erzieherin
B 82311-100,5141.1.2,Helfer/Helferin im Friseurgewerbe
B 51132-105,8350.7,Matrose/Matrosin
B 94404-100,2641.2,Dramaturg/Dramaturgin
B 34202-100,7213.4,Klempner/Klempnerin
B 34202-101,7213.4,Konstruktionsmechaniker/Konstruktionsmechanikerin Fachrichtung Feinblechbautechnik
B 41384-104,2113.1.1,Analytiker/Analytikerin - Chemie
B 25104-142,2144.1,Ingenieur/Ingenieurin für Maschinenbau
B 52122-111,8332.3,Betonmischerfahrer/Betonmischerfahrerin
B 41484-115,2111.1,"Astrophysiker/Astrophysikerin, Astronom/Astronomin"
B 81223-100,3211.1,Staatlich geprüfter Kardiotechniker/Staatlich geprüfte Kardiotechnikerin
B 43123-119,2514.2.1,Embedded-Systems-Entwickler/Embedded-Systems-Entwicklerin
B 83382-100,5153.1.3,Küster/Küsterin
B 34104-114,2149.2.5,Ingenieur/Ingenieurin für Gebäudetechnik/Facility-Management
B 22342-110,7522.1,Kunsttischler/Kunsttischlerin
B 72133-109,1346.4,Generalagent/Generalagentin (Versicherung)
B 28132-106,8151.2,Textilmechaniker/Textilmechanikerin - Spinnerei
B 28132-105,8151.2,Textilmaschinenführer/Textilmaschinenführerin - Spinnerei
B 28132-129,8151.2,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Spinnerei)
B 84483-118,2359.14,Nachhilfelehrer/Nachhilfelehrerin
B 72304-100,2411.1.12,Steuerberater/Steuerberaterin
B 94582-100,3435.20,Pyrotechniker/Pyrotechnikerin
B 28333-101,3119.7,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Schuhtechnik Schwerpunkt Betriebstechnik
B 94512-104,3435.25.3,Bühnenarbeiter/Bühnenarbeiterin
B 51522-130,8312.3,Rangierbegleiter/Rangierbegleiterin
B 91334-101,2351.2,Bildungsforscher/Bildungsforscherin
B 24432-101,7541.1,Geprüfter Taucher/Geprüfte Taucherin
B 73134-107,3339.3,Patentanwalt/Patentanwältin
B 92434-104,2641.4.3,Redenschreiber/Redenschreiberin
B 25212-101,7231.2,Karosserie- und Fahrzeugbauer/Karosserie- und Fahrzeugbauerin Fachrichtung Karosseriebau
B 25212-146,7231.2,Karosseriebauer/Karosseriebauerin
B 25212-237,7231.2,Karosserie- und Fahrzeugbaumechaniker/Karosserie- und Fahrzeugbaumechanikerin Fachrichtung Karosserie- und Fahrzeugbautechnik
B 25212-125,7231.2,Karosserie- und Fahrzeugbaumechaniker/Karosserie- und Fahrzeugbaumechanikerin Fachrichtung Karosseriebautechnik
B 71403-114,4120.1,Geprüfter Sekretär/Geprüfte Sekretärin
B 71402-114,4120.1,Sekretär/Sekretärin
B 23412-125,7322.10,Textildrucker/Textildruckerin
B 63142-100,4221.6,Reiseleiter/Reiseleiterin
B 71214-114,1111.5,Abgeordneter/Abgeordnete
B 24233-100,7223.4,CNC-Fachkraft/NC-Anwendungsfachmann / CNC-Fachkraft/NC-Anwendungsfachfrau
B 61122-100,4311.2,Vertriebsassistent/Vertriebsassistentin
B 26302-102,7412.3,Elektromechaniker/Elektromechanikerin
B 71524-115,2423.1,Berufsberater/Berufsberaterin
B 24422-124,7223.15,Brennschneider/Brennschneiderin
B 83154-101,2635.1.2,Suchtberater/Drogenberater / Suchtberaterin/Drogenberaterin
B 29222-105,8160.2,Ofenführer/Ofenführerin (Bäckerei)
B 26212-110,7411.1.1.1,Elektroniker/Elektronikerin Fachrichtung Energie- und Gebäudetechnik
B 26212-185,7411.1.1.1,Elektroniker/Elektronikerin für Gebäude- und Infrastruktursysteme
B 82342-101,5142.4,Maskenbildner/Maskenbildnerin
B 26252-189,7411.1.1.2,Elektroniker/Elektronikerin für Betriebstechnik
B 26252-120,7411.1.1.2,Industrieelektriker/Industrieelektrikerin - Betriebstechnik
B 26252-186,7411.1.1.2,Energieelektroniker/Energieelektronikerin Fachrichtung Betriebstechnik
B 53241-100,3411.4,Justizwachtmeister/Justizwachtmeisterin
B 93332-104,7317.4,Spielzeughersteller/Spielzeugherstellerin
B 72112-102,3312.1,"Kundenberater/Kundenberaterin (Bank, Sparkasse)"
B 81232-101,2269.8.2,Medizinisch-technischer Assistent/Medizinisch-technische Assistentin für Nuklearmedizin
B 81233-100,2269.8.2,Fachassistent/Fachassistentin für Nuklearmedizin
B 33342-104,7125.1,Glaser/Glaserin Fachrichtung Fenster- und Glasfassadenbau
B 33342-103,7125.1,Bauglaser/Bauglaserin
B 81804-100,2262.1.2.1,Krankenhausapotheker/Krankenhausapothekerin
B 71314-104,2421.1,Business-Analyst/Business-Analystin
B 94713-100,3433.1,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Museums- und Ausstellungstechnik
B 73324-107,2622.2,Bibliothekar/Bibliothekarin
B 62112-102,5230.3,Kartenverkäufer/Kartenverkäuferin
B 41284-102,2131.4.8,Genetiker/Genetikerin
B 27304-167,2141.8,Ingenieur/Ingenieurin für Service/Instandhaltung
B 27304-147,2141.8,Betriebsingenieur/Betriebsingenieurin
B 81753-100,2230.2.2,Homöopath/Homöopathin
B 23412-139,7322.1,Drucker/Druckerin Fachrichtung Digitaldruck
B 93522-121,7313.1,Goldschmied/Goldschmiedin Fachrichtung Juwelen
B 61212-100,3331.2.1,Kaufmann/Kauffrau im Groß- und Außenhandel Fachrichtung Außenhandel
B 61212-134,3331.2.1,Kaufmann/Kauffrau für Groß- und Außenhandelsmanagement Fachrichtung Außenhandel
B 27312-125,7543.10,Qualitätskontrolleur/Qualitätskontrolleurin
B 51511-100,4323.17,Funkbediener/Funkbedienerin (Taxibetrieb)
B 73342-110,3252.1.1,Klinische Kodierfachkraft
B 32242-103,8113.2,Bohrgeräteführer/Bohrgeräteführerin
B 31213-101,3112.10,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Vermessungstechnik
B 51242-100,3112.1.1,Brückenwärter/Brückenwärterin
B 84583-186,3422.4.6,Schwimmlehrer/Schwimmlehrerin
B 27223-157,3118.3.5,CAD-Fachkraft (ohne Schwerpunkt)
B 24232-105,7223.4.4,Zerspanungsmechaniker/Zerspanungsmechanikerin Fachrichtung Drehtechnik
B 24232-100,7223.4.4,CNC-Dreher/CNC-Dreherin
B 61152-102,4213.1,Pfandleiher/Pfandleiherin
B 51694-103,1324.3.1,Leiter/Leiterin für Logistik
B 71401-110,4132.1,Datenerfasser/Datenerfasserin
B 52422-101,3152.2,Binnenschiffer/Binnenschifferin
B 52423-106,3152.2,Steuermann/Steuerfrau (Binnenschifffahrt)
B 93432-105,7315.1,Staatlich geprüfter Glasbildner/Staatlich geprüfte Glasbildnerin
B 53194-105,1349.20,Leiter im Rettungsdienst/Leiterin im Rettungsdienst
B 43343-104,3513.2,Netzwerkadministrator/Netzwerkadministratorin
B 43313-100,3513.2,Netzwerk-Servicetechniker/Netzwerk-Servicetechnikerin
B 22104-106,2145.3,Ingenieur/Ingenieurin für Kunststofftechnik
B 94124-101,2652.3.2,Sänger/Sängerin
B 72144-102,2412.11,Venture-Capitalist
B 11302-102,9212.2,Pferdepfleger/Pferdepflegerin
B 11302-104,9212.2,Pferdewirt/Pferdewirtin Fachrichtung Pferdehaltung und Service
B 83314-102,3413.2,Pastoralreferent/Pastoralreferentin
B 23322-110,3431.1,Fotograf/Fotografin
B 26332-125,7412.2,Kraftfahrzeugelektriker/Kraftfahrzeugelektrikerin
B 25212-236,7412.2,Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin Schwerpunkt System- und Hochvolttechnik
B 31213-105,3111.5,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Seevermessungstechnik
B 21212-129,8112.2,Aufbereiter/Aufbereiterin im Bergbau
B 91344-103,2431.11,Marktforscher/Marktforscherin
B 93522-135,7313.1.7,Edelsteinfasser/Edelsteinfasserin
B 27304-165,2141.4.1,Produktionsingenieur/Produktionsingenieurin
B 84304-100,2310.1,Dozent/Dozentin an Hochschulen und Akademien
B 81762-100,3259.5,Diätassistent/Diätassistentin
B 43134-114,2131.3,Bioinformatiker/Bioinformatikerin
B 94704-108,2621.6,Kurator/Kuratorin
B 24412-225,7214.3,Fachkraft für Metalltechnik Fachrichtung Konstruktionstechnik
B 25102-100,7214.3,Konstruktionsmechaniker/Konstruktionsmechanikerin Fachrichtung Ausrüstungstechnik
B 24412-124,7214.3,Konstruktionsmechaniker/Konstruktionsmechanikerin
B 24412-122,7214.3,Metallbauer/Metallbauerin Fachrichtung Konstruktionstechnik
B 52512-104,8341.1,Forstmaschinenführer/Forstmaschinenführerin
B 23223-110,2166.9,Staatlich geprüfter Gestalter/Staatlich geprüfte Gestalterin Fachrichtung Grafikdesign
B 23222-101,2166.9,Staatlich geprüfter Grafikdesigner/Staatlich geprüfte Grafikdesignerin
B 54152-104,9112.1,Flugzeugreiniger/Flugzeugreinigerin
B 62272-103,5223.7.25,Fachverkäufer/Fachverkäuferin für Kraftfahrzeuge
B 51432-101,5111.2.2,Schiffssteward/Schiffsstewardess
B 71324-100,2421.2,Unternehmensberater/Unternehmensberaterin
B 83124-107,2635.3.21,Bewährungshelfer/Bewährungshelferin
B 92123-102,3341.3,"Trainer/Trainerin, Supervisor/Supervisorin im Callcenter"
B 84404-103,2359.9,Lehrer/Dozent/Lehrerin/Dozentin in der Erwachsenenbildung
B 94383-103,5161.1,Astrologe/Astrologin
B 94523-100,2654.1.3,Kameramann/Kamerafrau
B 71104-100,1120.3,Geschäftsführer/Geschäftsführerin
B 71402-118,4110.1,Kaufmännische Fachkraft
B 71402-126,4110.1,Bürogehilfe/Bürogehilfin
B 71402-115,4110.1,Büroassistent/Büroassistentin
B 92203-108,1222.1.2,Public-Relations-Manager/Public-Relations-Managerin
B 91244-111,2632.1.1,Kommunikationswissenschaftler/Kommunikationswissenschaftlerin
B 63114-100,1221.6,Touristikmanager/Touristikmanagerin
B 51133-116,3151.4,Technischer Wachoffizier/Technische Wachoffizierin (Fachschule)
B 51133-110,3151.4,Technischer Wachoffizier/Technische Wachoffizierin
B 51133-104,3151.4,Schiffsmaschinist/Schiffsmaschinistin
B 51134-106,3151.4,Technischer Wachoffizier/Technische Wachoffizierin (FH)
B 71214-101,1111.4,Bürgermeister/Bürgermeisterin
B 32162-105,7215.1,Tribünenbauer/Tribünenbauerin
B 93422-103,7316.1.2,Glas- und Kerammaler/Glas- und Kerammalerin Fachrichtung Glasmalerei
B 91214-107,2636.4,Religionswissenschaftler/Religionswissenschaftlerin
B 83212-122,5152.2,Haushälter/Haushälterin (Privathaushalt)
B 28122-149,8152.1,Textilmaschinenführer/Textilmaschinenführerin - Maschenindustrie
B 28122-152,8152.1,Textilmechaniker/Textilmechanikerin - Maschenindustrie
B 28122-234,8152.1,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Maschen)
B 53244-101,1349.9,Gefängnisdirektor/Gefängnisdirektorin
B 24122-104,8121.5,Walzer/Walzerin
B 41284-118,2131.4.2,Biochemiker/Biochemikerin
B 82522-101,3254.1,Augenoptiker/Augenoptikerin
B 22102-114,8142.14,Kunststofftiefzieher/Kunststofftiefzieherin
B 63222-103,4224.2,Night-Auditor
B 51532-101,4323.2,Flugdienstberater/Flugdienstberaterin
B 26242-113,3133.1.2,Servicetechniker/Servicetechnikerin für Biogasanlagen
B 34312-110,7126.10,Fachkraft für Abwassertechnik
B 52112-101,8322.7,Taxifahrer/Taxifahrerin
B 28122-165,8159.6,Textilmaschinenführer/Textilmaschinenführerin - Vliesstoff
B 28122-235,8159.6,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Vliesstoff)
B 28122-169,8159.6,Textilmechaniker/Textilmechanikerin - Vliesstoff
B 27224-101,2149.2.4,Konstruktionsingenieur/Konstruktionsingenieurin
B 94523-103,3521.1.2,Kamera-Operator/Kamera-Operatorin
B 81182-109,5329.3,Fachkraft für Medizinprodukteaufbereitung
B 11213-110,5164.5,Geprüfter Klauenpfleger/Geprüfte Klauenpflegerin
B 51422-101,4221.1,Bodensteward/Bodenstewardess
B 23312-100,8132.2,Fotomedienlaborant/Fotomedienlaborantin
B 23312-101,8132.2,Fotolaborant/Fotolaborantin
B 62262-108,5223.7.7,Fachverkäufer/Fachberater / Fachverkäuferin/Fachberaterin - Bau-/Heimwerkerbedarf
B 81404-101,2211.1,Facharzt/Fachärztin Fachrichtung Allgemeinmedizin (Hausarzt/Hausärztin)
B 71214-106,1111.1,Stadtrat/Stadträtin
B 26233-101,3131.3,Geprüfter Kraftwerker/Geprüfte Kraftwerkerin
B 92133-101,2431.6,Relationship-Manager/Relationship-Managerin
B 41104-105,2120.5,Mathematiker/Mathematikerin
B 72244-104,2412.8,Treuhänder/Treuhänderin
B 92413-112,2642.1.14,Bildredakteur/Bildredakteurin
B 28322-121,7318.5,Sattler/Sattlerin Fachrichtung Feintäschnerei
B 28322-107,7318.5,Feintäschner/Feintäschnerin
B 28322-106,7318.5,Täschner/Täschnerin
B 28322-104,7318.5,Feinsattler/Feinsattlerin
B 28112-103,7533.2,Sticker/Stickerin
B 28112-128,7533.2,Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Sticken
B 61122-101,5223.5,Verkaufssachbearbeiter/Verkaufssachbearbeiterin
B 25122-108,8182.2,Geprüfter Kesselwärter/Geprüfte Kesselwärterin
B 93522-105,7313.2,Edelsteinschleifer/Edelsteinschleiferin (ohne Fachrichtungen)
B 93522-204,7313.2,Edelsteinschleifer/Edelsteinschleiferin Fachrichtung Edelsteinschleifen
B 27194-100,1223.2,Leiter/Leiterin in der Forschung und Entwicklung
B 32252-101,7126.11,Kanalbauer/Kanalbauerin
B 32252-109,7126.11,Tiefbaufacharbeiter/Tiefbaufacharbeiterin Schwerpunkt Kanalbauarbeiten
B 93232-100,3432.1,Raumausstatter/Raumausstatterin
B 22202-101,7132.1,Lackierer/Lackiererin in der Spritzlackierung
B 51583-100,4323.5,Gefahrgutbeauftragter/Gefahrgutbeauftragte
B 27312-133,7543.7,Güte- und Materialprüfer/Qualitätsfachmann / Güte- und Materialprüferin/Qualitätsfachfrau
B 94714-101,2621.3,Konservator/Konservatorin
B 26242-115,7411.1.4,Solarmonteur/Solarmonteurin
B 26243-100,7411.1.4,Solartechniker/Solartechnikerin
B 81232-116,2269.8,Medizinischer Technologe/Medizinische Technologin für Radiologie
B 81232-102,2269.8,Medizinisch-technischer Radiologieassistent/Medizinisch-technische Radiologieassistentin
B 94532-100,3521.1,Audio-Engineer
B 24212-110,8121.7,Metallgewebemacher/Metallgewebemacherin
B 27104-158,2149.6,Inbetriebnahmeingenieur/Inbetriebnahmeingenieurin
B 82542-101,3214.2,Zahntechniker/Zahntechnikerin
B 43384-110,2529.4,Ethical Hacker
B 81132-100,2267.2,Orthoptist/Orthoptistin
B 53152-104,3411.8,Detektiv/Detektivin
B 22102-116,8142.5,Laminierer/Laminiererin (Kunststoffverarbeitung)
B 62412-101,5223.7.12,Fachverkäufer/Fachverkäuferin für Kosmetik und Körperpflege
B 11711-105,9215.1,Helfer/Helferin in der Forstwirtschaft
B 43384-101,2529.8,IT-Sicherheitskoordinator/IT-Sicherheitskoordinatorin
B 84583-113,3422.4.5,Snowboardlehrer/Snowboardlehrerin
B 28214-103,2163.1.3,Modedesigner/Modedesignerin
B 23412-132,7322.8,Vervielfältiger/Vervielfältigerin
B 23212-141,2166.4,DTP-Fachkraft
B 53123-100,2263.3,Fachkraft für Arbeitssicherheit
B 81783-100,2269.9.3,Tanz- und Bewegungstherapeut/Tanz- und Bewegungstherapeutin
B 51212-101,9312.1.4,Fahrbahnmarkierer/Fahrbahnmarkiererin
B 94183-100,3521.1.7,Audiodesigner/Audiodesignerin - Musik
B 24524-101,2144.1.22,Werkzeugingenieur/Werkzeugingenieurin
B 32252-100,8113.8,"Tunnelbauer, Mineur/Tunnelbauerin, Mineurin"
B 24422-116,7212.3,Schweißer/Schweißerin
B 81822-105,3213.2,Pharmazeutisch-technischer Assistent/Pharmazeutisch-technische Assistentin
B 41114-102,3321.2,Risikoanalytiker/Risikoanalytikerin (Versicherung)
B 81804-105,2262.1,Apotheker/Apothekerin
B 54152-100,9122.1,Fahrzeugpfleger/Fahrzeugpflegerin
B 81233-101,2269.8.1,Fachradiologietechnologe/Fachradiologietechnologin für radiologische Diagnostik und Interventionen
B 94623-102,3435.10,Requisitenmeister/Requisitenmeisterin
B 53333-100,3257.3,Lebensmittelkontrolleur/Lebensmittelkontrolleurin
B 29204-110,3257.3,Lebensmittelsachverständiger/Lebensmittelsachverständige
B 24232-102,7223.4.4.1,Dreher/Dreherin
B 24232-105,7223.4.4.1,Zerspanungsmechaniker/Zerspanungsmechanikerin Fachrichtung Drehtechnik
B 94144-103,2652.1,Komponist/Komponistin
B 51662-107,4412.2,Dienstleistungsfachkraft im Postbetrieb
B 51322-104,4412.2,Fachkraft für Brief- und Frachtverkehr
B 51322-108,4412.2,"Fachkraft für Kurier-, Express- und Postdienstleistungen"
B 51322-109,4412.2,Postjungbote/Postjungbotin
B 26324-113,2152.1.10,Ingenieur/Ingenieurin für Mikrosystemtechnik
B 41404-103,2111.3,Physiker/Physikerin
B 23412-140,7322.3,Drucker/Druckerin Fachrichtung Tiefdruck
B 81733-102,2266.2,Sprachtherapeut/Sprachtherapeutin
B 52313-103,3153.2.1,Co-Pilot/Co-Pilotin
B 41422-111,2146.1,Edelmetallprüfer/Edelmetallprüferin
B 62222-101,5223.7.22,Fachverkäufer/Fachverkäuferin für Schmuck/Uhren/Gold-/Silberwaren
B 43114-114,1330.1.1,Informationsmanager/Informationsmanagerin
B 84583-114,3422.4.4,Skilehrer/Skilehrerin
B 43343-104,2522.1.1,Netzwerkadministrator/Netzwerkadministratorin
B 52132-100,8311.1,Schienenfahrzeugführer/Schienenfahrzeugführerin
B 63221-130,4224.1,Empfangsmitarbeiter/Empfangsmitarbeiterin (Hotel)
B 51694-103,1324.3,Leiter/Leiterin für Logistik
B 62232-102,5223.7.37,Fachverkäufer/Fachverkäuferin für Spielwaren
B 42124-124,2114.1.9,Paläontologe/Paläontologin
B 93612-126,7312.6.1,Zupfinstrumentenmacher/Zupfinstrumentenmacherin Fachrichtung Gitarrenbau
B 43394-103,1330.2,Leiter/Leiterin der IT
B 24222-114,7224.2,Werkzeugschleifer/Werkzeugschleiferin
B 29242-106,8160.32,Fischwerker/Fischwerkerin
B 29242-100,8160.32,Fischverarbeiter/Fischverarbeiterin
B 53111-124,5414.1.5,Pförtner/Pförtnerin
B 72224-100,2411.1.5,Kostenanalytiker/Kostenanalytikerin
B 29232-100,8160.47,Fleischer/Fleischerin
B 94283-103,3435.24,Stuntman/Stuntwoman
B 72302-105,4312.7,Gehilfe/Gehilfin in wirtschafts- und steuerberatenden Berufen
B 72302-103,4312.7,Gehilfe/Gehilfin für Buchprüfung und Steuerberatung
B 72302-102,4312.7,Fachgehilfe/Fachgehilfin in steuer- und wirtschaftsberatenden Berufen
B 72302-100,4312.7,Steuerfachangestellter/Steuerfachangestellte
B 61124-102,2433.4,Vertriebsingenieur/Vertriebsingenieurin
B 28104-109,2141.11,Ingenieur/Ingenieurin für Textiltechnik
B 28122-115,7543.10.4,Textilstopfer/Textilstopferin
B 28122-231,7543.10.4,Produktprüfer/Produktprüferin - Textil
B 22322-110,8172.5,Sägewerker/Sägewerkerin
B 22322-100,8172.5,Holzbearbeitungsmechaniker/Holzbearbeitungsmechanikerin Fachrichtung Sägeindustrie
B 43413-101,2512.5,Nutzerschnittstellenentwickler/Nutzerschnittstellenentwicklerin
B 23224-117,2512.5,Interfacedesigner/Interfacedesignerin
B 27393-109,3139.1,Bandleiter/Bandleiterin
B 42124-122,2114.3,Mineraloge/Mineralogin
B 26304-127,2151.1,Ingenieur/Ingenieurin für Elektrotechnik
B 63132-114,3423.4,Staatlich geprüfter Berg- und Skiführer/Staatlich geprüfte Berg- und Skiführerin
B 94614-105,3432.5,Szenenbildner/Szenenbildnerin
B 94614-104,3432.5,Bühnenbildner/Bühnenbildnerin
B 94614-106,3432.5,Filmarchitekt/Filmarchitektin
B 94614-107,3432.5,Ausstatter/Ausstatterin
B 41323-101,3111.1,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Chemietechnik Schwerpunkt Laboratoriumstechnik
B 28221-108,9321.1,Helfer/Helferin in der Textilverarbeitung
B 81301-107,5321.1.1,Gesundheits- und Krankenpflegehelfer/Gesundheits- und Krankenpflegehelferin
B 81301-120,5321.1.1,Pflegeassistent/Pflegeassistentin (Gesundheits- und Krankenpflege)
B 25242-104,7233.10,Schiffsmechaniker/Schiffsmechanikerin
B 53132-102,5411.1,Berufsfeuerwehrmann/Berufsfeuerwehrfrau
B 84304-206,2310.1.27,Dozent/Dozentin für Musikberufe
B 63122-100,3423.2.1,Sport- und Fitnesskaufmann/Sport- und Fitnesskauffrau
B 63122-101,3423.2.1,Staatlich geprüfter Sportassistent/Staatlich geprüfte Sportassistentin
B 24232-333,7223.7,Fachkraft für Metalltechnik Fachrichtung Zerspanungstechnik
B 24232-165,7223.7,Feinwerkmechaniker/Feinwerkmechanikerin Schwerpunkt Zerspanungstechnik
B 24232-161,7223.7,Zerspanungsmechaniker/Zerspanungsmechanikerin
B 43233-104,2434.1,IT-Vertriebsbeauftragter/IT-Vertriebsbeauftragte
B 94414-100,2654.1.6,Regisseur/Regisseurin
B 34393-123,3112.1.9,Deponieleiter/Deponieleiterin
B 33322-118,7214.2,"Bootsbauer/Bootsbauerin Fachrichtung Neu-, Aus- und Umbau"
B 33322-112,7214.2,Bootsbauer/Bootsbauerin (ohne Fachrichtungen)
B 93532-101,7316.3,Graveur/Graveurin (mit Schwerpunkten)
B 93532-129,7316.3,Graveur/Graveurin
B 43394-102,1330.7,Geprüfter IT-Projektleiter/Geprüfte IT-Projektleiterin (Weiterbildung/Ausbildung)
B 43394-105,1330.7,IT-Manager/IT-Managerin
B 71442-100,2642.1.5,Korrektor/Korrektorin
B 92203-105,2422.13,Politischer Berater/Politische Beraterin
B 26324-114,2152.1.7,Ingenieur/Ingenieurin für Mikroelektronik
B 31114-103,2161.1,Architekt/Architektin
B 43353-103,2521.1,Datenbankadministrator/Datenbankadministratorin
B 73223-118,3344.2,Praxismanager/Praxismanagerin
B 92413-113,2641.4.4,Technischer Redakteur/Technische Redakteurin
B 63132-104,2659.4,Animateur/Animateurin - Freizeit
B 71403-118,3343.4,Managementassistent / Managementassistentin
B 81302-100,2221.2,Krankenpfleger/Krankenschwester
B 81302-103,2221.2,Gesundheits- und Krankenpfleger/Gesundheits- und Krankenpflegerin
B 81302-129,2221.2,Pflegefachmann/Pflegefachfrau
B 83142-103,3412.4,Sozialassistent/Sozialassistentin
B 21112-112,8113.5,"Tiefbohrfacharbeiter/Tiefbohrfacharbeiterin (Erdöl-, Erdgasgewinnung)"
B 81804-106,2262.1.2,Fachapotheker/Fachapothekerin
B 23124-103,2141.9,Ingenieur/Ingenieurin für Verpackungstechnik
B 72113-105,3312.5,Kreditsachbearbeiter/Kreditsachbearbeiterin
B 61313-104,3334.3,Immobilienmakler/Immobilienmaklerin
B 29222-116,3434.1.2,Patissier/Patissière
B 94704-107,2621.7,Registrar/Registrarin (Museum)
B 62422-101,5223.7.27,Fachverkäufer/Fachverkäuferin im Sanitätsfachhandel
B 52532-121,8343.1,Seilbahnbetriebsregler/Seilbahnbetriebsreglerin
B 53111-121,5419.5,Ordner/Ordnerin bei Veranstaltungen
